ligne_adm,nb_validations
A00879,165
A00880,476
A00881,85
A00887,3534
A00888,224
A00889,472
A00894,110
A00896,186
A00897,200
A00898,2726
A00899,648
A00900,225
A00901,3235
A00902,3982
A00903,1181
A00905,783
A00906,290
A00907,5473
A00908,6378
A00909,2439
A00910,647
A00911,7046
A00912,5752
A00913,4005
A00916,44671
A00917,286
A00924,1081821
A00926,116907
A00927,237151
A00928,146853
A00929,153083
A00930,360267
A00931,239238
A00932,51827
A00933,95478
A00934,130220
A00935,293506
A00936,70396
A00937,346823
A00938,96480
A00939,156702
A00940,174453
A00941,132835
A00942,248118
A00943,96854
A00944,143966
A00946,251303
A00947,114108
A00948,139681
A00949,101449
A00950,425953
A00951,150442
A00952,649374
A00953,164968
A00954,319560
A00956,99075
A00957,89141
A00958,127614
A00959,89211
A00960,155923
A00961,236870
A00962,29163
A00963,139394
A00964,75354
A00965,139654
A00966,252403
A00968,122950
A00969,135581
A00970,73522
A00971,100637
A00972,179510
A00973,82696
A00974,157674
A00975,175889
A00976,348864
A00977,342210
A00978,105349
A00979,75269
A00980,218329
A00981,251387
A00985,14130
A00986,70304
A00987,355825
A00988,81073
A00989,135611
A00990,113525
A00991,43383
A00992,71931
A00993,43453
A00994,92681
A00995,150031
A00996,78809
A00997,247453
A00998,191751
A01000,69288
A01001,107041
A01002,158050
A01003,92150
A01004,143287
A01005,104145
A01006,236226
A01007,275075
A01008,193953
A01009,176157
A01010,272603
A01011,63041
A01012,122185
A01013,117940
A01014,148167
A01015,194350
A01018,126350
A01019,49157
A01020,80087
A01021,77368
A01022,120014
A01023,275567
A01024,199982
A01025,95058
A01026,121280
A01027,219860
A01028,179711
A01030,364061
A01031,124335
A01032,165449
A01033,145826
A01036,45682
A01037,56543
A01038,70599
A01039,84114
A01041,91796
A01042,142469
A01043,169628
A01044,51609
A01045,77529
A01046,47448
A01048,87359
A01049,335210
A01050,261878
A01051,253894
A01052,281399
A01053,130112
A01054,66264
A01055,54903
A01056,130995
A01057,213377
A01058,195393
A01059,286831
A01060,71068
A01061,102319
A01062,98867
A01063,62985
A01064,149450
A01065,54960
A01066,258736
A01067,95642
A01068,245482
A01069,91073
A01070,53742
A01071,93469
A01072,177936
A01073,31493
A01074,86048
A01075,131876
A01076,78920
A01077,61783
A01078,80825
A01079,123
A01080,76324
A01081,146611
A01082,47991
A01083,17708
A01085,86537
A01086,24070
A01087,27162
A01088,172528
A01089,168623
A01090,77836
A01091,101670
A01092,113525
A01093,48187
A01094,49742
A01095,93262
A01097,81573
A01098,218839
A01100,42446
A01101,73795
A01102,51945
A01103,112617
A01104,66869
A01105,165813
A01106,78380
A01107,245516
A01108,51482
A01111,217611
A01112,46070
A01113,83356
A01114,346045
A01115,127629
A01116,117514
A01117,33272
A01118,17013
A01120,104923
A01122,72878
A01123,156014
A01124,165316
A01125,54665
A01126,66987
A01127,59386
A01128,43963
A01130,88652
A01131,40754
A01132,124558
A01133,53587
A01134,156404
A01135,262598
A01136,166061
A01137,193898
A01138,26655
A01139,94314
A01140,151381
A01141,57297
A01142,117354
A01143,16289
A01145,232653
A01146,176767
A01147,4575
A01150,30403
A01151,131672
A01152,114369
A01155,39890
A01156,53978
A01159,126
A01160,85650
A01162,71611
A01163,144473
A01165,34891
A01166,36539
A01167,27887
A01168,7244
A01169,14274
A01170,232492
A01172,39051
A01173,156423
A01174,46476
A01175,50452
A01176,40253
A01178,310096
A01179,88660
A01180,64993
A01181,32908
A01182,130348
A01183,56260
A01184,161696
A01189,40542
A01191,6404
A01195,3944
A01197,14501
A01200,8202
A01201,2329
A01202,4205
A01203,2823
A01205,66
A01206,936
A01212,24439
A01213,44324
A01217,867
A01221,43
A01222,61
A01223,167
A01224,753
A01227,5
A01232,115
A01233,1957
A01235,1383
A01239,77
A01241,2585
A01242,1120
A01243,12439
A01244,7740
A01245,9583
A01246,17344
A01247,16720
A01248,11227
A01249,14751
A01250,7988
A01251,13831
A01252,10220
A01253,6160
A01254,8340
A01255,7483
A01256,8960
A01257,17844
A01258,19097
A01259,8310
A01260,11218
A01261,13021
A01262,9367
A01263,9965
A01264,30270
A01265,27485
A01267,19180
A01268,20197
A01269,23817
A01270,24859
A01271,17444
A01282,7348
A01289,47751
A01290,7697
A01291,4456
A01292,1588
A01293,3127
A01294,130
A01295,3321
A01296,1636
A01297,8972
A01298,9586
A01299,2106
A01300,323
A01301,1632
A01302,4056
A01304,3629
A01305,1112
A01306,5523
A01307,6355
A01308,1361
A01312,25375
A01313,22817
A01314,8421
A01315,37275
A01316,12647
A01317,18622
A01318,15551
A01319,10056
A01320,23660
A01321,43772
A01323,79682
A01324,46125
A01326,40963
A01329,1510
A01330,1330
A01331,866
A01332,1235
A01333,533
A01337,54793
A01338,7553
A01339,11236
A01340,15401
A01341,12454
A01342,1065
A01346,3752
A01349,1742
A01352,636
A01354,1214
A01355,2218
A01361,8700
A01362,76695
A01363,14007
A01364,33815
A01365,3725
A01366,20134
A01367,65360
A01368,87639
A01370,68109
A01371,55273
A01372,24362
A01374,25072
A01375,26741
A01376,31606
A01377,37952
A01378,5281
A01379,22371
A01380,20974
A01381,20302
A01385,4344
A01386,1955
A01387,2603
A01397,2237
A01398,165
A01399,1167
A01400,126
A01401,241
A01402,280
A01403,250
A01404,331
A01405,179
A01406,62
A01407,94073
A01408,31065
A01409,3295
A01410,44356
A01411,68330
A01412,36115
A01413,147412
A01414,3524
A01415,12308
A01416,29244
A01417,21398
A01420,113659
A01421,38545
A01422,25956
A01423,28218
A01424,102158
A01425,165423
A01426,22860
A01427,147291
A01429,174288
A01430,119382
A01431,50848
A01432,53521
A01433,35191
A01434,93072
A01435,45725
A01438,7951
A01441,37270
A01442,3193
A01452,44308
A01453,49367
A01454,5048
A01455,18363
A01456,3760
A01458,25994
A01459,3591
A01462,9003
A01463,294
A01464,1325
A01465,923
A01466,93898
A01467,198499
A01468,25005
A01469,20741
A01470,38141
A01472,67565
A01473,29278
A01474,2004
A01475,40
A01476,6012
A01477,4100
A01478,25369
A01479,5348
A01480,759
A01484,3604
A01485,4478
A01493,477
A01494,2966
A01495,1964
A01496,2230
A01517,27614
A01712,22696
A01713,9079
A01714,490
A01718,1254
A01719,62149
A01723,19521
A01724,16964
A01726,71
A01731,199
A01751,3280
A01754,39717
A01755,11341
A01758,153723
A01767,654
A01768,969
A01769,21269
A01772,4888
A01773,33415
A01774,6156
A01776,24367
A01793,862
A01799,423
A01831,8144
A01839,13460
A02132,4408
A02133,2452
A02137,6544
A02138,965
A02141,75
A02142,221
A02143,28
A02144,4
A02145,66
A02147,79
A02148,43675
A02151,26452
A02152,7809
A02153,9508
A02155,7383
A02156,67276
A02157,5501
A02158,895
A02159,48622
A02160,11086
A02161,76034
A02162,38
A02165,10559
A02166,64119
A02177,331
A02182,17157
A02184,15451
A02186,3185
A02187,7741
A02188,747
A02189,2578
A02190,4025
A02191,2077
A02194,256
A02196,593
A02197,734
A02198,1808
A02199,1911
A02200,1300
A02201,311
A02202,2398
A02203,384
A02204,634
A02205,521
A02206,1688
A02208,78054
A02209,31328
A02210,3617
A02221,10244
A02222,21647
A02223,564
A02226,155140
A02232,39687
A02233,30622
A02235,470
A02236,3923
A02238,20076
A02239,3386
A02240,381
A02241,440
A02242,549
A02243,625
A02244,313
A02245,616
A02246,1036
A02249,71
A02250,47
A02251,238
A02252,1573
A02253,28458
A02255,5999
A02259,16401
A02260,9278
A02261,15254
A02262,7744
A02277,2839
A02280,18744
A02283,17688
A02284,764
A02285,3864
A02286,852
A02287,35714
A02288,24461
A02289,5779
A02291,2050
A02292,895
A02295,687
A02297,19144
A02298,725
A02299,3305
A02301,181098
A02304,3453
A02306,30780
A02308,872
A02310,1111
A02311,3254
A02312,1306
A02313,57026
A02314,82686
A02315,164676
A02316,116311
A02317,38542
A02322,1767
A02324,404
A02327,612
A02328,1005
A02330,2935
A02331,1261
A02332,11337
A02333,388
A02334,907
A02335,935
A02336,1656
A02337,913
A02340,770
A02341,246
A02342,740
A02348,10428
A02349,2217
A02350,16189
A02355,6318
A02356,774
A02357,254
A02358,1289
A02360,14677
A02361,938
A02377,628
A02378,800
A02379,297
A02381,6952
A02382,1311
A02383,474
A02384,157
A02386,1235
A02387,964
A02394,934
A02400,61992
A02404,766
A02414,30733
A02421,3300
A02423,4268
A02424,179
A02425,1587
A02426,260
A02427,353
A02428,667
A02429,682
A02430,655
A02431,18851
A02432,3648
A02433,439
A02434,1045
A02436,293
A02437,353
A02438,257
A02439,202
A02440,228
A02441,63
A02442,247
A02443,658
A02444,93
A02445,70
A02446,715
A02447,413
A02448,44
A02450,512
A02451,4606
A02456,100
A02457,122
A02458,156
A02459,219
A02460,562
A02462,2463
A02463,15381
A02464,26512
A02466,181
A02467,495
A02468,226
A02469,34
A02470,1239
A02471,2434
A02472,12098
A02474,214
A02475,583
A02476,1096
A02480,1105
A02481,3643
A02490,239
A02491,746
A02492,635
A02493,818
A02494,515
A02495,842
A02496,805
A02498,5231
A02499,4717
A02504,6495
A02505,300
A02506,200
A02507,25407
A02508,4467
A02509,8034
A02510,7710
A02511,146
A02512,786
A02513,345
A02514,276
A02515,724
A02516,1408
A02517,1409
A02518,1026
A02519,567
A02520,1614
A02534,1911
A02538,11195
A02539,1013
A02540,148479
A02541,114867
A02546,1134
A02547,7305
A02550,136
A02551,806
A02552,339
A02555,151
A02561,1973
A02562,904
A02563,481
A02564,764
A02565,33
A02566,670
A02567,976
A02568,308
A02569,896
A02570,554
A02572,1905
A02573,292
A02574,2029
A02575,611
A02576,1118
A02577,988
A02607,516
A02608,58
A02609,594
A02610,1766
A02611,928
A02612,174
A02613,1475
A02614,29332
A02615,3858
A02617,463
A02618,3401
A02619,14776
A02620,183
A02621,409
A02622,81
A02623,23
A02624,1122
A02625,2391
A02626,264
A02627,137
A02628,291
A02629,1667
A02630,119
A02631,111
A02632,11
A02633,1667
A02634,328
A02635,2171
A02638,2860
A02639,1653
A02640,510
A02641,1421
A02642,385
A02644,1179
A02645,1241
A02646,3583
A02647,3975
A02648,3666
A02650,168
A02651,2164
A02667,35949
A02668,5867
A02672,25
A02673,234
A02675,8154
A02676,4683
A02677,73
A02678,730
A02679,1093
A02680,1001
A02681,247
A02682,416
A02683,210
A02684,306
A02685,516
A02686,378
A02687,753
A02688,671
A02689,1267
A02690,857
A02691,621
A02692,349
A02697,3347
A02700,37
A02701,51
A02702,98
A02704,1152
A02706,189
A02709,85558
A02711,28500
A02714,640
A02716,589
A02717,77
A02725,879
A02726,185
A02727,517
A02728,7151
A02754,659
A02755,4469
A02759,819
A02762,1100
A02763,3243
A02764,392
A02771,6557
A02772,839
A02773,3
A02774,262
A02788,14281
A02789,8016
A02791,874
A02796,1314
A02798,994
A02800,20723
A02809,284
A02810,1
A02820,455
A02821,1175
A02822,2910
A02823,504
A02824,1044
A02831,1363
A02832,557
A02833,694
A02834,179
A02835,88
A02837,143
A02862,547
A02863,962
A02865,545
A02868,2667
A02871,1329
A02875,179
A02876,112
A02877,205
A02878,164
A02879,111
A02880,36
A02881,61
A02882,59
A02883,168
A02884,858
A02885,4
A02886,147
A02887,38
A02888,238
A02889,210
A02890,840
A02891,187
A02902,37444
A02903,51480
A02908,375
A02960,58058
A02961,29964
A02962,6884
A03036,1563
A03038,6469
A03043,113149
A03044,2525
