arrid,arrname,arrgeopoint,zdaid,lat_left,lon_left,geometry,lon_right,lat_right,temperature
471809,Ivry Sur Seine / Voltaire,"48.81277938657779, 2.386094122154385",46368,48.81277938657779,2.386094122154385,POINT (2.386094122154385 48.81277938657779),2.3786,48.805,24.357708
21635,Les Tilleuls,"48.75311238275307, 2.405580394122575",48085,48.75311238275307,2.405580394122575,POINT (2.405580394122575 48.75311238275307),2.4147,48.761,24.359207
479040,Gare de Maisons Alfort Alfortville,"48.80201117723911, 2.427256393171848",473103,48.80201117723911,2.427256393171848,POINT (2.427256393171848 48.80201117723911),2.4126,48.806,24.47005
37195,Vitry-sur-Seine RER,"48.80100573979847, 2.4019304724256427",473621,48.80100573979847,2.4019304724256427,POINT (2.4019304724256427 48.80100573979847),2.4126,48.806,24.47005
28742,Préfecture du Val-de-Marne,"48.783483240251044, 2.452107651146112",44558,48.783483240251044,2.452107651146112,POINT (2.452107651146112 48.783483240251044),2.4477,48.784,24.474466
26685,Cimetière Parisien d'Ivry,"48.8128075198694, 2.3707464957014377",42636,48.8128075198694,2.3707464957014377,POINT (2.3707464957014377 48.8128075198694),2.3786,48.805,24.357708
26684,Cimetière Parisien d'Ivry,"48.81261722738254, 2.3704764359996173",42636,48.81261722738254,2.3704764359996173,POINT (2.3704764359996173 48.81261722738254),2.3786,48.805,24.357708
30161,Croix des Mèches,"48.785080089806435, 2.453179723686231",45716,48.785080089806435,2.453179723686231,POINT (2.453179723686231 48.785080089806435),2.4477,48.784,24.474466
23371,Général Malleret Joinville,"48.78067720136792, 2.403306650498638",54929,48.78067720136792,2.403306650498638,POINT (2.403306650498638 48.78067720136792),2.4137,48.783,24.410774
41807,Charonne - Keller,"48.85428705080597, 2.377754981334872",42562,48.85428705080597,2.377754981334872,POINT (2.377754981334872 48.85428705080597),2.3765,48.85,24.665602
21130,Camélias,"48.79969067929673, 2.427241028846816",45722,48.79969067929673,2.427241028846816,POINT (2.427241028846816 48.79969067929673),2.4126,48.806,24.47005
22322,Buffon - Jardin des Plantes,"48.841946720380804, 2.3587994208714975",45703,48.841946720380804,2.3587994208714975,POINT (2.3587994208714975 48.841946720380804),2.3424,48.849,24.677244
27627,Boulevard de la Marne,"48.793090930923526, 2.4976224525495585",58171,48.793090930923526,2.4976224525495585,POINT (2.4976224525495585 48.793090930923526),2.4818,48.785,24.51627
23758,La Saussaye - Bineau,"48.892638924247294, 2.2687046007485505",42335,48.892638924247294,2.2687046007485505,POINT (2.2687046007485505 48.892638924247294),2.272,48.893,24.27547
24826,Avron,"48.85099479565374, 2.3987402181244075",463353,48.85099479565374,2.3987402181244075,POINT (2.3987402181244075 48.85099479565374),2.4106,48.851,24.405943
23541,Victor Hugo,"48.92253706235563, 2.2636172372350543",52347,48.92253706235563,2.2636172372350543,POINT (2.2636172372350543 48.92253706235563),2.2709,48.915,24.257711
27589,Pont Nelson Mandela - Rives de Bercy,"48.8222670761546, 2.4001202641542454",46271,48.8222670761546,2.4001202641542454,POINT (2.4001202641542454 48.8222670761546),2.4116,48.828,24.454836
37701,Saint-Maur - Créteil RER,"48.806433877720124, 2.4716779300889526",473813,48.806433877720124,2.4716779300889526,POINT (2.4716779300889526 48.806433877720124),2.4808,48.807,24.624565
39477,Gare Saint-Lazare,"48.8755054369561, 2.323577981322187",473234,48.8755054369561,2.323577981322187,POINT (2.323577981322187 48.8755054369561),2.3072,48.871,24.38513
8333,Docteur Tourasse,"48.799553596943475, 2.4716795438273396",51098,48.799553596943475,2.4716795438273396,POINT (2.4716795438273396 48.799553596943475),2.4808,48.807,24.624565
25147,Nouveau Cimetière de Montreuil,"48.861111995266626, 2.4530087329931924",57269,48.861111995266626,2.4530087329931924,POINT (2.4530087329931924 48.861111995266626),2.4447,48.851,24.281832
24493,Modes et Médias,"48.9046867875847, 2.365993461046187",46062,48.9046867875847,2.365993461046187,POINT (2.365993461046187 48.9046867875847),2.3744,48.895,24.293255
39571,Jules Ferry,"48.81751730283477, 2.3736041412506794",46371,48.81751730283477,2.3736041412506794,POINT (2.3736041412506794 48.81751730283477),2.3775,48.828,24.588678
39574,Jules Ferry,"48.81705627762008, 2.3714442665796227",46371,48.81705627762008,2.3714442665796227,POINT (2.3714442665796227 48.81705627762008),2.3775,48.828,24.588678
24491,Magasins Généraux,"48.90288369845279, 2.3685527239312036",45591,48.90288369845279,2.3685527239312036,POINT (2.3685527239312036 48.90288369845279),2.3744,48.895,24.293255
21777,Lycée Saint-Exupéry,"48.7818998358077, 2.4599090053861135",58169,48.7818998358077,2.4599090053861135,POINT (2.4599090053861135 48.7818998358077),2.4477,48.784,24.474466
37080,Schubert - Paganini,"48.85150027599744, 2.411776292096137",45661,48.85150027599744,2.411776292096137,POINT (2.411776292096137 48.85150027599744),2.4106,48.851,24.405943
26545,Orteaux,"48.855900665053646, 2.4050211205093386",45652,48.855900665053646,2.4050211205093386,POINT (2.4050211205093386 48.855900665053646),2.4106,48.851,24.405943
26327,La Réunion,"48.85743622495741, 2.3991565457579562",45647,48.85743622495741,2.3991565457579562,POINT (2.3991565457579562 48.85743622495741),2.4106,48.851,24.405943
26559,L'Ermitage,"48.871897918507216, 2.392091300129088",45628,48.871897918507216,2.392091300129088,POINT (2.392091300129088 48.871897918507216),2.3754,48.872,24.465027
30134,Mathurin Moreau - Simon Bolivar,"48.87838245856961, 2.3746991988430772",45610,48.87838245856961,2.3746991988430772,POINT (2.3746991988430772 48.87838245856961),2.3754,48.872,24.465027
26284,Jean Jaurès - Lorraine,"48.885856968466584, 2.381837018592693",43428,48.885856968466584,2.381837018592693,POINT (2.381837018592693 48.885856968466584),2.3744,48.895,24.293255
26558,Botzaris - Buttes Chaumont,"48.87617465603212, 2.380765744196784",45612,48.87617465603212,2.380765744196784,POINT (2.380765744196784 48.87617465603212),2.3754,48.872,24.465027
24671,Porte d'Aubervilliers - Oberlé,"48.89964908590119, 2.370815369471033",462886,48.89964908590119,2.370815369471033,POINT (2.370815369471033 48.89964908590119),2.3744,48.895,24.293255
25089,Wagram - Prony,"48.883083005778396, 2.3025341973272537",45507,48.883083005778396,2.3025341973272537,POINT (2.3025341973272537 48.883083005778396),2.3061,48.894,24.409426
40229,Wagram - Pereire,"48.886776451439886, 2.305143996010377",45499,48.886776451439886,2.305143996010377,POINT (2.305143996010377 48.886776451439886),2.3061,48.894,24.409426
427337,Nollet,"48.88751778363336, 2.3199171127370573",45523,48.88751778363336,2.3199171127370573,POINT (2.3199171127370573 48.88751778363336),2.3061,48.894,24.409426
414771,Liberté - Chanzy,"48.827004217826904, 2.405010363924452",414772,48.827004217826904,2.405010363924452,POINT (2.405010363924452 48.827004217826904),2.4116,48.828,24.454836
